NAME,total_population,white_nonhispanic,black_nonhispanic,asian_nonhispanic,hispanic,college_grad,grad_school,education_total,commute_total,commute_solo,commute_public,owner_occupied,renter_occupied,total_occupied,vacant_units,total_units,white_nonhispanic_share,black_nonhispanic_share,asian_nonhispanic_share,hispanic_share,college_grad_share,grad_school_share,commute_solo_share,commute_public_share,owner_occ_share,renter_occ_share,median_income_est,median_rent_est,median_home_value_est
ADAIR,407.1353244838398,319.3958231036333,2.2604991790859588,15.543595316686627,60.22034502103511,129.26490431202433,124.62139931275698,404.53898927748105,52.5751869957054,36.198257776915874,0.16024779491843114,254.92041065207542,2.9224786578850583,257.8428893099605,3.7615992996406264,261.6044886096011,0.7844954831874602,0.005552205969727109,0.03817795799564327,0.1479123559160129,0.3195363308315359,0.30805782042253727,0.6885045939993085,0.0030479738461324153,0.9886656612260813,0.011334338773918488,153315.17368070173,0.017787878363487896,107812.0849127942
ALDARRA,61.4782740076162,57.304608630820084,0.0,0.0041467616343989645,3.872401951179559,12.89949036355508,3.879264625600508,42.56205289146649,24.420078164478788,12.82370806198316,0.0012156907531386796,19.62073919525327,2.6955003813626877,22.316239576615956,2.0465638268087134,24.36280340342467,0.9321115394963908,0.0,6.745084668260604e-05,0.06298813708888165,0.3030749103303091,0.09114373866064819,0.525129689414197,4.9782426778101464e-05,0.8792135040445093,0.12078649595549083,138229.01565423908,2166.915096137157,115359.05262913021
ALDER SPRINGS,797.8329813084869,694.3248548429208,0.0,52.471414953571575,34.49016330488793,299.0428042095032,63.746264114063884,722.6195708388169,266.3011408260596,176.27218884177285,0.0030659031329034175,293.8871583318472,5.994806965224038,299.8819652970713,0.032935777084337314,299.91490107415564,0.8702634149119688,0.0,0.06576741772133282,0.0432298038723873,0.4138315875701709,0.08821552402748684,0.6619280274015381,1.1512917756916327e-05,0.9800094448517921,0.01999055514820779,175450.26024382128,0.0,253127.6789314009
ALDERWOOD,793.8283130995293,530.0901843150461,0.21964939178826098,90.53259523572525,138.33165788348884,191.49915563949466,126.67909378769392,536.3752948582481,332.34174525233175,206.20829659441597,0.7647142495976856,219.8870419606306,37.52467053419803,257.4117124948286,30.509791628087143,287.9215041229158,0.6677642703940494,0.00027669634373537593,0.11404556091258285,0.17425891165731824,0.3570245637247397,0.23617622773094413,0.6204706436678652,0.002300987644561695,0.854223142488313,0.14577685751168726,112801.58226301646,1859.9108881275383,319743.56085709715
ALG 30-0013,1309.1391806588115,448.4403042987068,130.20425847230092,157.19495937047404,442.45635578429886,85.9363958813044,15.83604850873735,841.9033000558181,560.5234375993996,439.4575598545337,7.498718411694285,273.82840999865317,82.19448416802545,356.0228941666786,14.799131145318631,370.82202531199727,0.34254593470576106,0.09945791891033076,0.12007505519112736,0.3379750314719303,0.10207395062545405,0.01880981878523035,0.7840128179771308,0.01337806398214082,0.7691314645356919,0.2308685354643081,84803.32151234218,1846.933718681066,86713.58545154464
ALG 30-0014,2132.1733736791707,911.9227807066306,193.12800985479427,120.68528018827749,660.2027984885502,158.9330545702829,68.70184378340717,1294.4060583772366,1010.2321956185842,831.8066410535095,28.477041415788086,277.0159213784364,366.5010617970828,643.5169831755193,35.177577366658696,678.694560542178,0.4276963552607651,0.09057800469646722,0.056602001356029066,0.3096384218274603,0.1227845416372148,0.05307595969501015,0.8233816390539588,0.028188610043605924,0.43047181134437956,0.5695281886556204,77329.84746941346,1862.5050830219345,40593.84863812049
ALG 30-3141,1190.85559368141,499.9620643472298,27.549997731605593,220.29368225667497,286.52231923744307,166.0436292540755,30.653582971035373,780.4825067091888,524.242233425033,308.74377661723395,4.076477965374739,327.17820988692654,40.867066348996175,368.04527623592276,15.980760007886417,384.02603624380913,0.4198343333986008,0.023134625119774224,0.18498773774548033,0.24060206859480604,0.21274484415311065,0.039275169792443575,0.5889334298767147,0.00777594345793523,0.8889618506533968,0.11103814934660308,83546.7740454663,1670.1134057649551,116299.06842492287
ALPINE,46.37585331857078,42.96602905403098,0.0,0.4849376962460731,0.9822756468103795,9.203839494994538,5.872352961533861,34.00873083308576,23.579882308552627,16.828996590450082,0.4916465030990992,16.15614163953645,0.8410992729167,16.997240912453147,1.5290346264831942,18.526275538936343,0.926474145044478,0.0,0.0104566851398912,0.021180756288467825,0.2706316663261213,0.1726719232880305,0.7137014667942622,0.020850252629156456,0.9505155408899064,0.04948445911009373,165844.04089159035,0.0,107288.91303354922
AMES LAKE,138.97370492392747,109.74853860475662,0.0,7.585769371348606,16.128771613380458,42.41983226114099,11.687032769276755,99.32332308530253,67.52780309997698,35.371981742349504,0.7940208994860752,49.131277521505794,2.024697822870376,51.155975344376166,7.739713737995931e-05,51.15605274151355,0.7897072231385904,0.0,0.05458420623887781,0.11605628289329376,0.42708833075096847,0.11766655007343542,0.5238136014876746,0.011758429314078276,0.96042108846053,0.03957891153947007,164697.28232283983,0.0,79812.94031829239
ANGEL CITY,607.5413874231566,135.02690486709096,248.571294483848,101.36703077221371,40.91529012321077,90.78713556693668,21.882456752414928,433.3506488943081,257.7765646955391,189.252542012154,21.86587504229832,185.98630237237563,32.18558616462264,218.17188853699827,0.05053534265650053,218.22242387965474,0.22225136865127482,0.409142981251278,0.166847942988962,0.06734568371835546,0.2095004029613884,0.05049595935358099,0.7341727989729436,0.08482491442976668,0.8524760161336528,0.14752398386634724,120239.52169090969,1286.8530281899455,80862.09629069576
